game,score,steps,duration_sec,reason
1,0,640,5.844,hunger
2,1,872,7.561,hunger
3,5,814,7.082,hunger
4,1,724,6.26,hunger
5,1,824,7.111,hunger
6,3,1009,8.675,hunger
7,0,640,5.514,hunger
8,0,640,5.519,hunger
9,0,640,5.522,hunger
10,0,640,5.561,hunger
11,7,972,8.429,hunger
12,0,640,5.556,hunger
13,0,640,5.55,hunger
14,0,640,5.562,hunger
15,1,651,5.647,hunger
16,0,640,5.542,hunger
17,0,640,5.567,hunger
18,0,640,5.55,hunger
19,0,640,5.541,hunger
20,4,1497,12.97,hunger
21,1,642,5.573,hunger
22,0,640,5.543,hunger
23,1,875,7.576,hunger
24,1,832,7.204,hunger
25,0,640,5.567,hunger
26,0,640,5.563,hunger
27,0,640,5.534,hunger
28,0,640,5.535,hunger
29,1,691,6.006,hunger
30,1,644,5.568,hunger
31,0,640,5.531,hunger
32,4,1188,10.282,hunger
33,0,640,5.562,hunger
34,3,896,7.763,hunger
35,1,648,5.607,hunger
36,0,640,5.548,hunger
37,0,640,5.527,hunger
38,0,640,5.545,hunger
39,2,781,6.768,hunger
40,1,642,5.566,hunger
41,2,720,6.23,hunger
42,1,644,5.591,hunger
43,1,665,5.763,hunger
44,1,821,7.115,hunger
45,0,640,5.551,hunger
46,1,643,5.597,hunger
47,2,1176,10.163,hunger
48,1,708,6.116,hunger
49,0,640,5.551,hunger
50,0,640,5.55,hunger
51,0,640,5.562,hunger
52,0,640,5.553,hunger
53,34,2833,24.565,wall
54,1,667,5.967,hunger
55,1,669,6.202,hunger
56,1,685,6.324,hunger
57,0,640,5.903,hunger
58,0,640,5.931,hunger
59,0,640,5.899,hunger
60,2,1300,12.002,hunger
61,0,640,5.878,hunger
62,1,660,6.093,hunger
63,0,640,5.914,hunger
64,0,640,5.907,hunger
65,3,735,6.804,hunger
66,1,671,6.184,hunger
67,2,775,7.166,hunger
68,0,640,5.937,hunger
69,0,640,5.918,hunger
70,1,670,6.224,hunger
71,0,640,5.928,hunger
72,1,818,7.549,hunger
73,0,640,5.907,hunger
74,0,640,5.921,hunger
75,4,1104,10.228,hunger
76,1,680,6.262,hunger
77,46,3674,33.992,self
78,2,700,6.472,hunger
79,0,218,2.01,wall
80,2,695,6.411,hunger
81,1,653,6.054,hunger
82,0,640,5.918,hunger
83,0,640,5.912,hunger
84,0,640,5.906,hunger
85,0,640,5.882,hunger
86,0,640,5.906,hunger
87,0,640,5.891,hunger
88,0,640,5.918,hunger
89,0,326,2.994,wall
