episode,score,return,epsilon,best_score,steps,loss
1,0,-5.0,0.99962,0,1,
2,0,-5.0,0.99924,0,1,
3,1,-4.5613,0.99886,1,8,
4,0,-5.0728,0.99848,1,8,
5,0,-5.0,0.9981,1,1,
6,0,-5.0945,0.99772,1,10,
7,0,-5.0101,0.99734,1,2,
8,0,-5.0621,0.99696,1,7,
9,0,-5.0,0.99658,1,1,
10,0,-5.0,0.9962,1,1,
11,0,-5.0306,0.99582,1,4,
12,0,-5.0101,0.99544,1,2,
13,0,-5.041,0.9950600000000001,1,5,
14,0,-5.162,0.99468,1,16,0.9415136575698853
15,0,-5.0306,0.9943,1,4,0.8267993927001953
16,0,-5.0101,0.99392,1,2,0.9072406888008118
17,0,-5.0306,0.99354,1,4,0.8591185212135315
18,0,-5.0101,0.99316,1,2,0.7700480818748474
19,0,-5.0306,0.99278,1,4,0.5613638758659363
20,0,-5.0,0.9924,1,1,0.5441981554031372
21,0,-5.0836,0.99202,1,9,0.20873266458511353
22,0,-5.1971,0.99164,1,19,0.09657242894172668
23,0,-5.0621,0.99126,1,7,0.07282683998346329
24,0,-5.041,0.99088,1,5,0.0412573479115963
25,0,-5.0,0.9905,1,1,0.07979606091976166
26,0,-5.0,0.99012,1,1,0.07484748959541321
27,0,-5.0,0.98974,1,1,0.04571445286273956
28,0,-5.1166,0.98936,1,12,0.0505954883992672
29,0,-5.1166,0.98898,1,12,0.01861431822180748
30,0,-5.0306,0.9886,1,4,0.02164345420897007
31,0,-5.1391,0.98822,1,14,0.00937711726874113
32,0,-5.041,0.98784,1,5,0.0066899023950099945
33,0,-5.041,0.98746,1,5,0.005670114420354366
34,0,-5.1736,0.98708,1,17,0.004556550644338131
35,0,-5.041,0.9867,1,5,0.007050501182675362
36,0,-5.041,0.98632,1,5,0.002802373608574271
37,0,-5.0101,0.98594,1,2,0.004747815430164337
38,0,-5.0101,0.98556,1,2,0.022081922739744186
39,0,-5.0203,0.9851800000000001,1,3,0.015626126900315285
40,0,-5.0101,0.9848,1,2,0.008593009784817696
41,0,-5.0101,0.98442,1,2,0.01506885513663292
42,0,-5.0,0.98404,1,1,0.01164150983095169
43,1,-4.6505,0.98366,1,16,0.020968886092305183
44,0,-5.0836,0.98328,1,9,0.015678931027650833
45,0,-5.0,0.9829,1,1,0.01626160740852356
46,0,-5.0101,0.98252,1,2,0.006911708042025566
47,0,-5.0,0.98214,1,1,0.009264377877116203
48,0,-5.0306,0.98176,1,4,0.00830061174929142
49,0,-5.0728,0.98138,1,8,0.006239292211830616
50,0,-5.0,0.981,1,1,0.005575120449066162
51,0,-5.041,0.98062,1,5,0.006055617704987526
52,0,-5.041,0.98024,1,5,0.005234501790255308
53,0,-5.0,0.97986,1,1,0.0073785982094705105
54,0,-5.1055,0.97948,1,11,0.022950436919927597
55,0,-5.0728,0.9791,1,8,0.006371404975652695
56,0,-5.1391,0.97872,1,14,0.004521565977483988
57,0,-5.0515,0.97834,1,6,0.0037895238492637873
58,0,-5.0,0.97796,1,1,0.0057604508474469185
59,0,-5.0,0.97758,1,1,0.002824935130774975
60,0,-5.0728,0.9772,1,8,0.003270728513598442
61,0,-5.0101,0.97682,1,2,0.0030870335176587105
62,0,-5.0203,0.97644,1,3,0.006003141403198242
63,0,-5.1736,0.97606,1,17,0.003317038295790553
64,0,-5.041,0.97568,1,5,0.016848428174853325
65,0,-5.0,0.9753000000000001,1,1,0.006542669143527746
66,0,-5.0,0.97492,1,1,0.015700392425060272
67,0,-5.0,0.97454,1,1,0.013353242538869381
68,0,-5.0728,0.97416,1,8,0.00816394668072462
69,0,-5.041,0.97378,1,5,0.007007984444499016
70,0,-5.0203,0.9734,1,3,0.00728909857571125
71,0,-5.0,0.97302,1,1,0.012446236796677113
