game,score,steps,duration_sec,reason
1,5,782,7.378,hunger
2,50,1621,14.038,self
3,8,767,6.66,hunger
4,3,680,5.866,hunger
5,27,1567,13.549,self
6,7,1060,9.181,hunger
7,11,1174,10.175,hunger
8,0,640,5.549,hunger
9,1,661,5.737,hunger
10,58,1400,12.127,self
11,3,674,5.869,hunger
12,8,1159,10.061,hunger
13,31,1043,9.063,self
14,55,1463,12.715,wall
15,18,458,3.954,self
16,1,680,5.907,hunger
17,30,949,8.225,self
18,48,1399,12.121,self
19,41,1530,13.266,self
20,14,1295,11.223,hunger
21,31,572,4.949,self
22,3,677,5.881,hunger
23,21,680,5.912,self
24,48,1863,16.196,wall
25,49,1545,13.399,self
26,14,1129,9.791,hunger
27,12,1108,9.608,hunger
28,23,1100,9.557,self
29,4,939,8.155,hunger
30,35,788,6.796,self
31,1,674,5.848,hunger
32,14,1004,8.706,hunger
33,14,896,7.773,hunger
34,7,1038,8.997,hunger
35,52,1735,15.07,self
36,12,1004,8.719,hunger
37,0,640,5.562,hunger
38,5,963,8.359,hunger
39,39,1516,13.136,self
40,1,668,5.783,hunger
41,33,942,8.641,self
42,51,1702,15.726,self
43,24,1210,11.195,self
44,17,528,4.88,self
45,5,736,6.824,hunger
46,3,714,6.593,hunger
47,1,682,6.313,hunger
48,5,1003,9.271,hunger
49,1,654,6.01,hunger
50,3,975,9.045,hunger
51,2,671,6.179,hunger
52,14,1351,12.48,hunger
53,66,1803,16.628,self
54,1,674,6.212,hunger
55,7,737,6.784,hunger
56,2,693,6.405,hunger
57,20,897,8.277,self
58,6,734,6.778,hunger
59,24,998,9.248,self
60,34,1324,12.255,wall
61,15,954,8.833,hunger
62,1,1059,9.764,hunger
63,13,1195,11.011,hunger
64,4,731,6.744,hunger
65,5,734,6.754,hunger
66,2,674,6.241,hunger
67,1,666,6.153,hunger
68,8,1068,9.831,hunger
69,25,877,8.096,self
70,7,1026,9.454,hunger
71,3,722,6.674,hunger
72,1,777,7.15,hunger
73,13,915,8.462,hunger
74,2,685,6.315,hunger
75,7,777,7.157,hunger
76,34,1175,10.908,self
77,57,1643,15.177,self
78,1,668,6.178,hunger
79,2,677,6.241,hunger
80,0,640,5.886,hunger
81,7,766,7.078,hunger
82,0,640,5.927,hunger
83,10,831,7.667,hunger
84,9,881,8.13,hunger
85,2,679,6.273,hunger
86,8,826,7.624,hunger
87,14,441,4.057,self
88,12,934,8.611,hunger
89,23,649,6.004,self
90,33,1235,11.399,self
91,8,997,9.207,hunger
92,43,1091,10.084,self
93,0,640,5.899,hunger
94,3,692,6.4,hunger
95,1,774,7.147,hunger
96,15,498,4.601,self
97,25,685,6.335,self
98,12,1156,10.654,hunger
99,23,941,8.672,wall
100,50,1574,14.505,self
101,7,1292,11.891,hunger
102,10,199,1.819,self
103,3,1054,9.7,hunger
104,9,773,7.134,hunger
105,1,659,6.05,hunger
106,15,901,8.272,hunger
107,3,803,7.388,hunger
108,5,718,6.647,hunger
109,28,1206,11.101,self
110,2,667,6.158,hunger
111,8,1041,9.572,hunger
112,32,1247,11.448,self
113,15,312,2.827,self
114,22,678,6.116,self
115,1,672,6.079,hunger
116,10,828,7.473,hunger
117,35,1310,11.778,self
118,50,1654,14.763,self
119,1,658,5.91,hunger
120,2,683,6.08,hunger
121,2,665,5.951,hunger
122,1,669,5.961,hunger
123,1,831,7.403,hunger
124,1,677,6.034,hunger
125,1,964,8.417,hunger
126,11,835,7.27,hunger
127,4,766,6.847,hunger
128,13,1263,10.935,hunger
129,26,606,5.252,self
130,3,749,6.508,hunger
131,1,667,5.802,hunger
132,1,659,5.711,hunger
133,60,1754,15.128,self
134,11,335,2.89,self
135,21,891,7.749,self
136,22,369,3.342,self
137,0,640,5.572,hunger
138,21,760,6.64,self
139,3,720,6.256,hunger
140,10,843,7.291,hunger
141,13,965,8.332,hunger
142,10,650,5.592,self
143,2,695,6.031,hunger
144,3,707,6.1,hunger
145,6,1028,8.902,hunger
146,11,1467,12.726,hunger
147,13,932,8.057,hunger
148,11,204,1.752,self
149,2,665,5.749,hunger
150,8,966,8.362,hunger
151,32,1718,14.878,self
152,7,802,6.944,hunger
153,1,730,6.334,hunger
154,45,1202,10.368,self
155,1,682,6.006,hunger
156,7,873,7.566,hunger
157,2,676,5.859,hunger
158,22,969,8.403,self
159,15,1159,10.207,hunger
160,3,728,6.335,hunger
161,22,421,3.651,self
162,1,667,5.817,hunger
163,10,1113,9.861,hunger
164,9,1151,10.35,hunger
165,11,1338,11.671,hunger
166,5,1002,8.78,hunger
167,33,900,7.814,self
168,2,697,6.036,hunger
169,13,998,8.709,hunger
170,1,672,5.848,hunger
171,30,1076,9.323,self
172,12,1197,10.387,hunger
173,2,676,5.853,hunger
174,24,1132,9.793,self
175,2,691,6.007,hunger
176,3,703,6.217,hunger
177,38,1081,9.328,self
178,1,667,5.824,hunger
179,26,900,7.802,self
180,0,640,5.516,hunger
181,7,860,7.445,hunger
182,3,697,6.017,hunger
183,54,1860,16.042,self
184,11,913,7.901,hunger
185,1,660,5.732,hunger
186,11,772,6.699,hunger
187,15,1204,10.427,hunger
188,6,827,7.11,hunger
189,6,938,8.135,hunger
190,13,1301,11.217,hunger
191,7,1035,8.938,hunger
192,14,1149,9.92,hunger
193,14,1514,13.075,hunger
194,7,1101,9.519,hunger
195,1,672,5.828,hunger
196,14,1037,8.973,hunger
197,2,690,5.956,hunger
198,11,925,8.023,hunger
199,2,679,5.91,hunger
200,17,330,2.845,self
201,2,686,6.007,hunger
202,3,706,6.278,hunger
203,35,1112,9.619,self
204,20,489,4.22,self
205,1,831,7.186,hunger
206,6,960,8.321,hunger
207,44,1254,10.841,self
208,2,674,5.839,hunger
209,2,693,6.148,hunger
210,9,802,7.206,hunger
211,6,771,6.677,hunger
212,11,872,7.687,hunger
213,12,1225,12.473,hunger
214,4,779,7.182,hunger
215,13,849,8.43,hunger
216,19,908,7.841,self
217,20,565,4.807,self
218,2,912,7.717,hunger
219,65,2122,17.988,wall
220,8,973,8.291,hunger
221,6,1191,10.187,hunger
222,2,675,5.746,hunger
223,6,752,6.363,hunger
224,20,1033,8.778,self
225,7,812,6.867,hunger
226,6,1021,8.61,hunger
227,12,617,5.194,self
228,11,1164,9.797,hunger
229,13,895,7.543,hunger
230,46,1118,9.401,self
231,11,1170,9.865,hunger
232,2,681,5.712,hunger
233,13,541,4.558,self
234,34,669,5.66,self
235,1,666,5.608,hunger
236,2,689,5.782,hunger
237,33,839,7.078,wall
238,9,951,8.161,hunger
239,11,950,8.057,hunger
240,4,742,6.236,hunger
241,15,620,5.213,self
242,40,1439,12.11,self
243,6,743,6.315,hunger
244,2,679,5.882,hunger
245,1,673,5.933,hunger
246,11,880,7.435,hunger
247,32,731,6.207,self
248,60,1560,13.171,self
249,33,779,6.604,self
250,15,1507,12.82,hunger
251,10,872,7.381,hunger
252,13,1339,11.389,hunger
253,4,1055,9.093,hunger
254,10,1121,9.937,hunger
255,25,717,6.251,self
256,14,971,8.462,hunger
257,10,868,7.556,hunger
258,2,697,6.054,hunger
259,9,872,7.525,hunger
260,12,1068,9.41,hunger
261,5,736,6.393,hunger
262,2,685,5.935,hunger
263,20,578,5.013,self
264,9,768,6.637,hunger
265,23,537,4.634,self
266,2,710,6.22,hunger
267,10,831,7.262,hunger
268,15,1185,10.176,hunger
269,24,1259,10.94,self
270,2,672,5.793,hunger
271,2,698,6.064,hunger
272,49,1150,9.928,self
273,12,1073,9.291,hunger
274,4,720,6.249,hunger
275,5,727,6.286,hunger
276,13,951,8.199,hunger
277,16,446,3.858,self
278,48,2137,18.557,self
279,5,744,6.442,hunger
280,38,1147,9.929,self
281,2,683,5.915,hunger
282,26,1229,10.744,self
283,17,536,4.653,self
284,41,1334,11.51,self
285,56,1817,15.599,self
286,16,472,4.077,wall
287,6,1041,8.982,hunger
288,10,909,9.014,hunger
289,32,606,5.348,self
290,3,712,5.962,hunger
291,10,970,8.636,hunger
292,1,669,7.345,hunger
293,15,931,7.87,hunger
294,22,488,4.099,self
295,1,670,5.72,hunger
296,2,692,7.096,hunger
297,0,640,5.471,hunger
298,4,698,6.052,hunger
299,0,640,5.553,hunger
300,31,937,7.86,self
301,5,1161,9.722,hunger
302,4,697,5.824,hunger
303,57,1460,12.199,self
304,0,640,5.377,hunger
305,8,1264,10.596,hunger
306,8,874,7.301,hunger
307,0,640,5.868,hunger
308,15,1667,17.769,hunger
309,43,1548,12.979,self
310,11,856,7.668,hunger
311,7,965,8.126,hunger
312,9,1031,8.7,hunger
313,37,1553,13.24,self
314,11,882,7.488,hunger
315,1,670,5.618,hunger
316,54,1903,16.168,wall
317,5,731,6.54,hunger
318,5,767,6.471,hunger
319,51,1468,12.343,self
320,11,242,2.027,self
321,11,978,8.218,hunger
322,55,1871,15.686,self
323,10,1338,11.251,hunger
324,4,738,6.196,hunger
325,1,671,5.624,hunger
326,29,1075,9.057,self
327,4,801,6.724,hunger
328,26,644,5.412,self
329,21,793,6.646,self
330,36,950,7.964,self
331,27,531,4.496,self
332,6,935,7.854,hunger
333,50,1372,11.499,self
334,3,1103,9.285,hunger
335,8,808,6.769,hunger
336,6,1043,8.775,hunger
337,26,918,7.704,self
338,1,673,5.637,hunger
339,1,746,6.259,hunger
340,3,815,6.832,hunger
341,11,857,7.209,hunger
342,8,1199,10.073,hunger
343,15,1276,10.775,hunger
344,63,2324,20.039,self
345,7,767,6.686,hunger
346,12,863,7.49,hunger
347,6,1039,9.002,hunger
348,4,1017,9.003,hunger
349,13,903,7.869,hunger
350,55,1556,13.395,self
351,2,682,5.918,hunger
352,5,722,6.249,hunger
353,9,1075,9.295,hunger
354,4,756,6.546,hunger
355,42,985,8.52,self
356,2,963,8.327,hunger
357,19,648,5.609,self
358,9,1234,10.689,hunger
359,1,671,5.81,hunger
360,66,1970,16.962,self
361,1,661,5.71,hunger
362,39,1055,9.192,self
363,34,1086,9.456,self
364,3,683,6.345,hunger
365,5,728,6.529,hunger
366,3,882,7.628,hunger
367,10,800,6.88,hunger
368,3,679,5.887,hunger
369,59,1610,13.813,self
370,10,1463,12.628,hunger
371,4,701,6.048,hunger
372,1,675,5.847,hunger
373,2,666,5.759,hunger
374,11,1054,9.083,hunger
375,2,672,5.807,hunger
376,14,975,8.392,hunger
377,23,545,4.701,self
378,11,821,7.101,hunger
379,2,674,5.855,hunger
380,15,531,4.611,self
381,7,786,6.805,hunger
382,17,655,5.663,self
383,0,640,5.527,hunger
384,1,677,5.876,hunger
385,13,1360,11.832,hunger
386,40,1180,10.132,self
387,15,1113,9.672,hunger
388,51,1428,12.313,wall
389,23,595,5.144,self
390,3,702,6.09,hunger
391,5,728,6.302,hunger
392,17,418,3.618,self
393,30,1162,10.036,self
394,4,737,6.395,hunger
395,3,694,6.026,hunger
396,7,848,7.326,hunger
397,1,679,5.879,hunger
398,9,1303,11.263,hunger
399,13,971,8.373,hunger
400,2,682,5.899,hunger
401,15,910,7.905,hunger
402,3,1113,9.611,hunger
403,1,992,8.556,hunger
404,48,1306,11.221,self
405,2,665,5.768,hunger
406,3,742,6.424,hunger
407,6,821,7.097,hunger
408,47,1147,9.859,self
409,28,698,6.026,self
410,9,1232,10.655,hunger
411,11,901,7.782,hunger
412,12,1092,9.434,hunger
413,6,735,6.356,hunger
414,0,640,5.542,hunger
415,10,1139,9.866,hunger
416,4,731,6.31,hunger
417,3,756,6.542,hunger
418,18,1325,11.468,self
419,0,640,5.533,hunger
420,2,680,5.87,hunger
421,28,1046,9.014,self
422,8,827,7.136,hunger
423,13,923,7.998,hunger
424,0,640,5.528,hunger
425,10,888,7.647,hunger
426,1,678,5.844,hunger
427,30,1300,11.224,self
428,2,669,5.794,hunger
429,14,1289,11.39,hunger
430,33,1093,9.534,self
431,0,640,5.513,hunger
432,9,1414,12.356,hunger
433,37,842,7.374,self
434,25,1384,12.044,self
435,13,988,8.504,hunger
436,7,769,6.676,hunger
437,26,642,5.559,self
438,4,726,6.251,hunger
439,41,1567,13.511,self
440,10,838,7.234,hunger
441,21,459,3.973,self
442,2,694,5.987,hunger
443,33,1505,13.191,wall
444,7,895,7.781,hunger
445,25,1200,10.332,self
446,6,730,6.301,hunger
447,20,883,7.615,self
448,12,905,7.824,hunger
449,55,1412,12.26,self
450,26,863,7.591,self
451,6,1150,9.928,hunger
452,2,680,5.889,hunger
453,2,670,5.766,hunger
454,30,871,7.49,self
455,7,814,7.023,hunger
456,8,1044,8.993,hunger
457,3,664,5.726,hunger
458,8,1232,10.66,hunger
459,8,782,6.733,hunger
460,3,1066,9.21,hunger
461,5,1081,9.396,hunger
462,4,689,5.989,hunger
463,2,682,5.937,hunger
464,6,1066,9.172,hunger
465,38,1524,13.192,self
466,3,694,6.007,hunger
467,3,693,6.035,hunger
468,56,1207,10.46,self
469,15,1000,8.701,hunger
470,2,670,5.821,hunger
471,4,821,7.135,hunger
472,3,678,5.906,hunger
473,9,868,7.51,hunger
474,1,665,5.799,hunger
475,1,917,7.959,hunger
476,2,687,5.975,hunger
477,3,721,6.286,hunger
478,34,936,8.085,self
479,1,667,5.785,hunger
480,4,738,6.397,hunger
481,8,974,8.522,hunger
482,2,674,5.833,hunger
483,8,1144,10.016,hunger
484,5,897,7.759,hunger
485,2,786,6.798,hunger
486,50,1403,12.106,self
487,14,880,7.588,hunger
488,46,1137,9.849,self
489,49,1694,14.636,self
490,4,712,6.37,hunger
491,3,910,7.9,hunger
492,3,719,6.214,hunger
493,7,789,6.808,hunger
494,3,690,5.965,hunger
495,10,872,7.539,hunger
496,6,756,6.555,hunger
497,17,371,3.197,self
498,7,1047,9.042,hunger
499,1,665,5.737,hunger
500,6,981,8.503,hunger
501,3,776,6.797,hunger
502,9,895,7.811,hunger
503,49,1700,14.813,wall
504,2,978,8.519,hunger
505,6,728,6.287,hunger
506,2,882,7.644,hunger
507,16,688,5.982,self
508,11,959,8.295,hunger
509,6,799,6.901,hunger
510,12,978,8.488,hunger
511,12,490,4.225,self
512,8,795,6.915,hunger
513,2,692,6.023,hunger
514,2,679,5.9,hunger
515,38,1149,9.992,self
516,11,2002,17.411,hunger
517,18,925,7.969,self
518,2,672,5.829,hunger
519,20,888,7.733,self
520,42,1302,11.226,self
521,3,727,6.263,hunger
522,14,1062,9.3,hunger
523,4,753,6.505,hunger
524,15,605,5.247,self
525,27,781,6.776,self
526,7,760,6.624,hunger
527,9,885,7.633,hunger
528,2,698,6.027,hunger
529,11,938,8.108,hunger
530,4,760,6.594,hunger
531,23,1004,8.628,self
532,48,1599,13.776,self
533,11,1182,10.253,hunger
534,14,981,8.446,hunger
535,32,1277,11.037,self
536,2,688,5.931,hunger
537,30,899,7.913,self
538,6,730,6.292,hunger
539,0,640,5.533,hunger
540,31,1118,9.659,self
541,4,688,6.135,hunger
542,4,696,6.015,hunger
543,2,682,5.904,hunger
544,47,1204,10.369,self
545,38,1515,13.135,self
546,9,1465,12.674,hunger
547,24,865,7.472,self
548,40,959,8.271,self
549,47,2036,18.547,self
550,1,673,6.663,hunger
551,9,845,9.26,hunger
552,11,878,7.956,hunger
553,8,1075,9.538,hunger
554,3,673,6.017,hunger
555,1,664,5.941,hunger
556,13,892,8.055,hunger
557,28,531,4.725,self
558,44,1172,10.582,self
559,6,735,6.761,hunger
560,2,683,6.092,hunger
561,10,1127,10.064,hunger
562,39,1595,14.534,wall
563,26,663,5.943,self
564,45,1268,11.506,self
565,30,738,6.642,self
566,14,1144,10.201,hunger
567,14,321,3.035,self
568,12,882,7.852,hunger
569,3,683,5.934,hunger
570,15,1796,15.732,hunger
571,6,961,8.386,hunger
572,25,693,6.004,self
573,45,1094,9.515,self
574,10,862,7.506,hunger
575,49,1458,12.629,self
576,1,660,5.709,hunger
577,7,785,6.799,hunger
578,7,1247,10.75,hunger
579,32,718,6.178,self
580,46,1001,8.649,self
581,13,866,7.488,hunger
582,8,796,7.044,hunger
583,2,680,5.893,hunger
584,1,670,5.787,hunger
585,50,1340,11.774,self
586,6,1007,9.033,hunger
587,2,678,5.902,hunger
588,3,699,6.05,hunger
589,30,898,7.797,self
590,17,748,6.504,wall
591,11,897,7.769,hunger
592,34,1031,8.92,self
593,0,640,5.637,hunger
594,11,1121,9.783,hunger
595,10,859,7.46,hunger
596,9,869,7.512,hunger
597,11,858,7.435,hunger
598,0,640,5.537,hunger
599,4,925,8.01,hunger
600,56,1644,14.197,self
601,2,696,6.036,hunger
602,4,747,6.616,hunger
603,14,1015,8.775,hunger
604,31,796,6.871,self
605,3,776,6.713,hunger
606,41,1515,13.082,self
607,45,1449,12.602,self
608,47,1114,9.633,self
609,15,1051,9.253,hunger
610,11,921,8.172,hunger
611,0,640,5.527,hunger
612,9,397,3.434,self
613,8,1470,12.747,hunger
614,15,1088,9.473,hunger
615,13,1037,8.961,hunger
616,1,904,7.874,hunger
617,14,940,8.135,hunger
618,15,1224,10.597,hunger
619,26,494,4.239,self
620,14,900,7.841,hunger
621,53,1489,12.883,self
622,7,1230,10.83,hunger
623,22,623,5.411,self
624,12,1168,10.186,hunger
625,1,730,6.548,hunger
626,1,670,5.821,hunger
627,3,688,5.987,hunger
628,2,996,11.023,hunger
629,13,1255,12.815,hunger
630,10,803,8.038,hunger
631,9,1124,9.514,hunger
632,2,667,5.656,hunger
633,5,770,6.493,hunger
634,10,1140,9.686,hunger
635,29,902,8.013,self
636,5,736,6.176,hunger
637,45,1002,8.412,self
638,3,685,5.771,hunger
639,7,1120,10.57,hunger
640,70,2175,18.28,self
641,4,776,6.539,hunger
642,10,234,1.957,self
643,2,710,5.962,hunger
644,3,787,6.596,hunger
645,2,668,5.584,hunger
646,4,716,6.027,hunger
647,0,640,5.353,hunger
648,4,1032,10.004,hunger
649,2,1125,12.051,hunger
650,20,1073,9.919,self
651,0,640,5.964,hunger
652,4,724,6.799,hunger
653,13,852,8.117,hunger
654,2,688,5.74,hunger
655,1,672,5.676,hunger
656,16,460,3.971,self
657,1,660,6.78,hunger
658,15,940,8.508,hunger
659,5,757,6.338,hunger
660,4,744,6.21,hunger
661,7,809,6.889,hunger
662,32,944,7.909,self
663,3,671,6.216,hunger
664,8,1106,9.384,hunger
665,31,1119,10.862,self
666,25,778,7.209,self
667,24,842,8.236,self
668,34,1198,10.819,self
669,19,990,8.527,self
670,41,1800,15.148,self
671,12,1344,11.381,hunger
672,42,1140,9.616,self
673,8,1107,9.359,hunger
674,10,808,6.868,hunger
675,1,674,5.777,hunger
676,54,1633,13.911,wall
677,0,640,5.4,hunger
678,2,672,5.746,hunger
679,17,575,4.86,self
680,31,986,8.362,self
681,34,1072,9.183,self
682,1,662,5.679,hunger
683,9,1078,9.248,hunger
684,22,757,6.787,self
685,20,1486,12.561,self
686,56,1666,14.165,self
687,8,774,6.564,hunger
688,4,704,5.968,hunger
689,1,660,5.802,hunger
690,10,1227,10.362,hunger
691,10,847,7.145,hunger
692,5,1250,10.748,hunger
693,44,1814,15.399,self
694,27,751,6.417,self
695,45,1648,14.069,self
696,9,1081,9.184,hunger
697,10,812,6.985,hunger
698,35,1243,10.72,self
699,36,1994,17.215,self
700,2,784,6.689,hunger
701,6,828,7.119,hunger
702,13,934,8.017,hunger
703,11,831,7.123,hunger
704,17,308,2.635,self
705,7,84,0.709,wall
706,2,978,8.39,hunger
707,36,1308,11.159,self
708,64,2397,21.087,self
709,6,736,6.243,hunger
710,1,673,5.722,hunger
711,24,605,5.346,self
712,8,861,7.387,hunger
713,10,792,6.756,hunger
714,9,1022,8.714,hunger
715,27,1289,11.237,self
716,34,999,8.534,self
717,6,740,6.345,hunger
718,11,1365,11.767,hunger
719,4,1253,10.708,hunger
720,16,786,6.693,self
721,24,635,5.403,self
722,35,1063,9.038,self
723,34,1103,9.394,self
724,5,736,6.251,hunger
725,2,1002,8.518,hunger
726,9,858,7.277,hunger
727,50,1200,10.176,self
728,0,640,5.443,hunger
729,22,1052,8.959,wall
730,43,1439,12.375,self
731,12,1064,9.288,hunger
732,31,817,6.917,self
733,4,730,6.183,hunger
734,5,797,6.851,hunger
735,39,1574,13.392,self
736,1,674,5.921,hunger
737,1,661,5.717,hunger
738,6,776,6.749,hunger
739,44,1429,12.356,self
740,60,2183,18.706,self
741,3,1021,10.83,hunger
742,23,789,7.802,self
743,6,917,9.589,hunger
744,8,872,7.551,hunger
745,14,1227,11.267,hunger
746,14,859,7.856,hunger
747,0,640,5.766,hunger
748,37,907,8.567,self
749,15,927,13.51,hunger
750,4,1032,9.324,hunger
751,24,799,7.351,self
752,5,719,6.419,hunger
753,4,715,6.457,hunger
754,12,1303,11.803,hunger
755,1,846,7.314,hunger
756,1,682,6.389,hunger
