episode,score,return,epsilon,best_score,steps,loss
1,0,-1.0,0.99962,0,1,
2,0,-1.0101,0.99924,0,2,
3,0,-1.0,0.99886,0,1,
4,0,-1.0621,0.99848,0,7,
5,0,-1.0,0.9981,0,1,
6,0,-1.0836000000000001,0.99772,0,9,
7,0,-1.0,0.99734,0,1,
8,0,-1.0306,0.99696,0,4,
9,0,-1.0515,0.99658,0,6,
10,0,-1.0101,0.9962,0,2,
11,0,-1.0101,0.99582,0,2,
12,0,-1.209,0.99544,0,20,
13,0,-1.0,0.9950600000000001,0,1,
14,0,-1.041,0.99468,0,5,
15,0,-1.0203,0.9943,0,3,0.08752316981554031
16,0,-1.0,0.99392,0,1,0.07499804347753525
17,0,-1.0203,0.99354,0,3,0.03870777785778046
18,0,-1.1971,0.99316,0,19,0.002536071464419365
19,0,-1.0101,0.99278,0,2,0.002096569864079356
20,0,-1.0101,0.9924,0,2,0.0012618228793144226
21,0,-1.0101,0.99202,0,2,0.0016513299196958542
22,0,-1.0515,0.99164,0,6,0.002542651491239667
23,0,-1.0203,0.99126,0,3,0.0017716290894895792
24,0,-1.0621,0.99088,0,7,0.0006962424959056079
25,0,-1.0,0.9905,0,1,0.0010028205579146743
26,0,-1.0,0.99012,0,1,0.0010951400035992265
27,0,-1.0,0.98974,0,1,0.0008811089210212231
28,0,-1.0101,0.98936,0,2,0.0007670088671147823
29,0,-1.0621,0.98898,0,7,0.0013403954217210412
30,0,-1.0,0.9886,0,1,0.0003993558348156512
31,0,-1.0728,0.98822,0,8,0.0005784242530353367
32,0,-1.1391,0.98784,0,14,0.0004231530474498868
33,0,-1.1853,0.98746,0,18,0.0004893320729024708
34,0,-1.0101,0.98708,0,2,0.000344410800607875
35,0,-1.0306,0.9867,0,4,0.0003401884459890425
36,0,-1.0,0.98632,0,1,0.0063173966482281685
37,0,-1.0203,0.98594,0,3,0.00031472096452489495
38,0,-1.0101,0.98556,0,2,0.00775390537455678
39,0,-1.0515,0.9851800000000001,0,6,0.0037823677994310856
40,0,-1.041,0.9848,0,5,0.001147853210568428
41,0,-1.0101,0.98442,0,2,0.003437797538936138
42,0,-1.0,0.98404,0,1,0.0007370448438450694
43,1,-0.020299999999999985,0.98366,1,4,0.0013544722460210323
44,0,-1.0,0.98328,1,1,0.001441202824935317
45,0,-1.0203,0.9829,1,3,0.0064238631166517735
46,0,-1.0515,0.98252,1,6,0.005527080502361059
47,0,-1.0,0.98214,1,1,0.004850016441196203
48,0,-1.0203,0.98176,1,3,0.0011905734427273273
49,0,-1.0621,0.98138,1,7,0.0019866912625730038
50,0,-1.0,0.981,1,1,0.0008865081472322345
51,0,-1.0101,0.98062,1,2,0.0012091121170669794
52,0,-1.0621,0.98024,1,7,0.0016767281340435147
53,0,-1.041,0.97986,1,5,0.0012287290301173925
54,0,-1.041,0.97948,1,5,0.0003863381571136415
55,0,-1.0,0.9791,1,1,0.0005339774070307612
56,0,-1.041,0.97872,1,5,0.0006409682682715356
57,0,-1.0,0.97834,1,1,0.0010943330125883222
