game,score,steps,duration_sec,reason
1,15,335,3.195,self
2,51,833,7.845,self
3,2,664,5.709,hunger
4,31,526,4.546,self
5,33,566,4.9,wall
6,64,1191,10.344,self
7,22,367,3.192,self
8,0,640,5.545,hunger
9,13,205,1.762,self
10,25,324,2.797,self
11,39,721,6.206,wall
12,58,978,8.442,self
13,32,511,4.437,self
14,34,521,4.528,self
15,34,578,5.004,self
16,28,494,4.272,wall
17,32,457,3.958,self
18,47,988,8.626,self
19,19,354,3.08,self
20,76,1250,10.862,wall
21,36,637,5.529,self
22,21,329,2.858,self
23,33,556,4.826,self
24,75,1680,14.596,self
25,42,641,5.569,self
26,30,561,4.879,self
27,33,677,5.871,self
28,24,392,3.401,self
29,31,474,4.11,self
30,24,400,3.455,self
31,46,728,6.339,self
32,18,370,3.212,self
33,31,516,4.469,self
34,13,231,2.01,self
35,30,440,3.839,wall
36,28,478,4.147,wall
37,21,370,3.195,wall
38,44,768,6.677,self
39,40,686,5.952,wall
40,17,279,2.414,self
41,21,388,3.353,self
42,32,558,4.831,self
43,36,547,4.726,self
44,39,679,5.904,self
45,58,1040,9.042,self
46,67,1398,12.125,self
47,53,946,8.218,self
48,26,405,3.495,self
49,47,889,7.693,self
50,23,416,3.602,self
51,25,351,3.05,wall
52,27,477,4.142,self
53,30,525,4.551,self
54,21,346,2.999,wall
55,23,339,2.951,wall
56,31,533,4.614,self
57,27,449,3.905,self
58,28,401,3.48,wall
59,10,180,1.561,self
60,17,397,3.431,self
61,34,620,5.385,self
62,53,1002,8.715,self
63,14,227,1.964,self
64,31,509,4.414,wall
65,60,1309,11.383,wall
66,36,576,5.005,self
67,0,640,5.543,hunger
68,44,723,6.291,wall
69,20,371,3.215,self
70,32,509,4.416,wall
71,21,402,3.475,wall
72,42,633,5.85,self
73,46,778,7.218,self
74,30,461,4.254,wall
75,19,340,3.141,self
76,21,435,3.991,self
77,26,397,3.675,self
78,16,269,2.479,self
79,26,433,4.018,self
80,47,774,7.168,wall
81,26,346,3.175,self
82,35,687,6.359,self
83,21,473,4.363,self
84,48,989,9.106,self
85,0,640,5.89,hunger
86,28,449,4.146,wall
87,30,513,4.766,self
88,20,303,2.784,self
89,24,442,4.087,self
90,39,656,6.072,self
91,33,578,5.339,wall
92,50,826,7.621,self
93,32,476,4.386,self
94,29,488,4.516,self
95,49,876,8.063,self
96,31,494,4.544,self
97,17,382,3.539,self
98,19,221,2.051,self
99,52,880,8.143,wall
100,32,524,4.858,self
101,52,754,6.97,self
102,33,561,5.188,wall
103,50,1011,9.369,self
104,31,567,5.23,wall
105,14,260,2.405,wall
106,40,745,6.877,self
107,34,668,6.193,self
108,34,518,4.779,self
109,34,848,7.865,wall
110,40,639,5.9,self
111,39,623,5.753,self
112,34,565,5.224,wall
113,41,708,6.552,self
114,40,669,6.192,self
115,34,564,5.212,self
116,32,507,4.658,self
117,73,1265,11.673,self
118,25,419,3.861,self
119,31,529,4.886,self
120,37,799,7.38,self
121,48,808,7.48,wall
122,33,784,7.257,self
123,50,917,8.418,self
124,30,552,5.105,self
125,40,726,6.693,self
126,16,254,2.337,self
127,23,1072,9.918,hunger
128,50,869,8.047,self
129,66,1411,13.065,self
130,34,604,5.56,self
131,52,929,8.573,self
132,62,1329,12.265,self
133,16,307,2.833,self
134,45,764,7.052,self
135,20,332,3.065,self
136,42,692,6.392,self
137,38,629,5.793,self
138,38,790,7.289,self
139,52,882,8.1,self
140,33,600,5.541,self
141,38,658,6.086,self
142,14,235,2.158,wall
143,48,873,8.076,wall
144,54,929,8.603,self
145,38,606,5.612,self
146,0,640,5.903,hunger
147,18,313,2.876,self
148,49,872,8.061,self
149,38,615,5.687,self
150,83,1523,14.111,self
151,63,1264,11.639,self
152,49,1089,10.066,self
153,56,935,8.635,self
154,0,640,5.898,hunger
155,30,489,4.501,wall
156,35,644,5.948,wall
157,33,547,5.055,wall
158,21,377,3.473,wall
159,20,365,3.368,self
160,46,751,6.95,wall
161,30,486,4.465,wall
162,45,759,7.04,self
163,38,696,6.419,self
164,49,925,8.568,wall
165,0,640,5.927,hunger
166,43,722,6.624,self
167,36,605,5.524,self
168,51,1042,9.458,wall
169,26,409,3.701,self
170,30,476,4.296,self
171,52,840,7.62,self
172,40,676,6.133,self
173,0,640,5.783,hunger
174,53,1020,9.149,self
175,0,640,5.791,hunger
176,34,666,6.0,wall
177,29,526,4.711,self
178,34,602,5.385,wall
179,41,681,6.125,self
180,40,675,6.066,self
181,49,867,7.769,self
182,22,366,3.268,self
183,11,189,1.637,wall
184,34,587,5.135,self
185,32,501,4.41,self
186,24,483,4.206,self
187,45,746,6.643,self
188,30,474,4.127,self
189,59,1114,9.699,self
190,36,772,6.731,self
191,23,393,3.41,self
192,30,432,3.752,self
193,22,296,2.591,self
194,54,980,8.52,self
195,9,116,1.002,self
196,37,621,5.37,self
197,74,1641,14.14,self
198,29,436,3.859,self
199,34,491,4.283,self
200,51,958,8.301,self
201,37,539,4.655,self
202,49,874,7.527,wall
203,39,572,4.972,self
204,30,643,5.598,self
205,29,484,4.231,self
206,35,579,5.055,wall
207,14,207,1.79,self
208,47,811,7.055,self
209,31,504,4.42,self
210,27,481,4.216,self
211,33,549,4.818,self
212,18,369,3.206,self
213,54,853,7.407,self
214,44,719,6.253,self
215,36,538,4.704,self
216,26,462,4.022,self
217,0,640,5.625,hunger
218,43,712,6.2,self
219,31,611,5.339,self
220,41,672,5.853,self
221,28,463,4.036,self
222,50,954,8.332,self
223,10,157,1.376,wall
224,38,606,5.303,self
225,46,693,6.082,self
226,41,696,6.042,self
227,57,1012,8.811,self
228,51,1052,9.169,self
229,20,229,1.986,self
230,28,381,3.368,self
231,40,616,5.388,self
232,18,352,3.063,self
233,54,984,8.561,self
234,19,305,2.636,self
235,41,727,6.416,self
236,52,1044,9.122,self
237,28,499,4.367,self
238,32,516,4.465,self
239,21,393,3.418,self
240,53,876,7.602,self
241,31,462,4.01,self
242,45,806,7.0,self
243,17,235,2.034,wall
244,40,665,5.769,self
245,32,559,4.852,wall
246,35,658,5.71,self
247,20,332,2.88,self
248,42,663,5.745,self
249,32,604,5.239,wall
250,34,530,4.583,self
251,44,795,6.921,self
252,13,153,1.323,self
253,59,990,8.555,self
254,28,468,4.094,self
255,32,523,4.542,self
256,60,1122,9.763,self
257,42,841,7.338,self
258,58,977,8.462,self
259,28,468,4.082,self
260,10,167,1.44,self
261,56,935,8.074,self
262,39,692,6.0,wall
263,14,258,2.23,self
264,48,884,7.706,self
265,28,520,4.522,self
266,17,279,2.451,self
267,33,617,5.369,wall
268,52,876,7.614,self
269,68,1450,12.576,self
270,37,561,4.878,self
271,43,707,6.147,self
272,22,416,3.605,self
273,54,969,8.44,self
274,35,538,4.689,self
275,0,640,5.587,hunger
276,26,480,4.186,wall
277,20,395,3.432,self
278,30,463,4.027,wall
279,29,474,4.11,self
280,65,1171,10.184,self
281,51,919,7.978,self
282,31,489,4.254,self
283,25,461,4.036,self
284,55,851,7.364,self
285,30,453,3.939,self
286,31,500,4.32,self
287,29,448,3.896,wall
288,38,728,6.347,wall
289,32,514,4.464,wall
290,23,463,4.033,self
291,18,370,3.223,self
292,40,632,5.482,self
293,25,471,4.111,self
294,9,133,1.153,self
295,25,393,3.403,wall
