episode,score,return,epsilon,best_score,steps,loss
1,0,-1.0,0.99962,0,1,
2,0,-1.0101,0.99924,0,2,
3,0,-1.0,0.99886,0,1,
4,0,-1.0621,0.99848,0,7,
5,0,-1.0,0.9981,0,1,
6,0,-1.0836000000000001,0.99772,0,9,
7,0,-1.0,0.99734,0,1,
8,0,-1.0306,0.99696,0,4,
9,0,-1.0515,0.99658,0,6,
10,0,-1.0101,0.9962,0,2,
11,0,-1.0101,0.99582,0,2,
12,0,-1.209,0.99544,0,20,
13,0,-1.0,0.9950600000000001,0,1,
14,0,-1.041,0.99468,0,5,
15,0,-1.0203,0.9943,0,3,0.102792888879776
16,0,-1.0,0.99392,0,1,0.08783525973558426
17,0,-1.0203,0.99354,0,3,0.07025283575057983
18,0,-1.1971,0.99316,0,19,0.003581373253837228
19,0,-1.0101,0.99278,0,2,0.004052996635437012
20,0,-1.0101,0.9924,0,2,0.004497671499848366
21,0,-1.0101,0.99202,0,2,0.0028796284459531307
22,0,-1.0515,0.99164,0,6,0.002921495120972395
23,0,-1.0203,0.99126,0,3,0.0023069074377417564
24,0,-1.0621,0.99088,0,7,0.0022920810151845217
25,0,-1.0,0.9905,0,1,0.002066013403236866
26,0,-1.0,0.99012,0,1,0.002091396600008011
27,0,-1.0,0.98974,0,1,0.0019281532149761915
28,0,-1.0101,0.98936,0,2,0.0008140935678966343
29,0,-1.0621,0.98898,0,7,0.0015789568424224854
30,0,-1.0,0.9886,0,1,0.0007461131317541003
31,0,-1.0728,0.98822,0,8,0.0006901109591126442
32,0,-1.1391,0.98784,0,14,0.0012737383367493749
33,0,-1.1853,0.98746,0,18,0.0007180818356573582
34,0,-1.0101,0.98708,0,2,0.0003120482724625617
35,0,-1.0306,0.9867,0,4,0.00033802707912400365
36,0,-1.0,0.98632,0,1,0.004933791700750589
37,0,-1.0203,0.98594,0,3,0.0006803484284318984
38,0,-1.0101,0.98556,0,2,0.007291387766599655
39,0,-1.0515,0.9851800000000001,0,6,0.003961843904107809
40,0,-1.041,0.9848,0,5,0.0014917321968823671
41,0,-1.0101,0.98442,0,2,0.002274041762575507
42,0,-1.0,0.98404,0,1,0.0011922926642000675
43,1,-0.020299999999999985,0.98366,1,4,0.002219955902546644
44,0,-1.0,0.98328,1,1,0.0013874126598238945
45,0,-1.0203,0.9829,1,3,0.007968802005052567
46,0,-1.0515,0.98252,1,6,0.006410699337720871
47,0,-1.0,0.98214,1,1,0.006150064989924431
48,0,-1.0203,0.98176,1,3,0.0010590708116069436
49,0,-1.0621,0.98138,1,7,0.0017204851610586047
50,0,-1.0,0.981,1,1,0.001110933138988912
51,0,-1.0101,0.98062,1,2,0.000792686187196523
52,0,-1.0621,0.98024,1,7,0.0013760160654783249
53,0,-1.0203,0.97986,1,3,0.002572641707956791
54,0,-1.0,0.97948,1,1,0.0005383744719438255
55,0,-1.0101,0.9791,1,2,0.0014259506715461612
56,0,-1.0,0.97872,1,1,0.0005359231727197766
57,0,-1.041,0.97834,1,5,0.0007733041420578957
