game,score,steps,duration_sec,reason
1,0,640,5.635,hunger
2,0,640,5.559,hunger
3,28,4975,42.93,hunger
4,0,640,5.568,hunger
5,0,640,5.539,hunger
6,0,640,5.532,hunger
7,0,640,5.527,hunger
8,0,640,5.553,hunger
9,5,829,7.168,hunger
10,1,642,5.563,hunger
11,0,640,5.559,hunger
12,0,640,5.544,hunger
13,0,640,5.533,hunger
14,1,1233,10.681,hunger
15,0,640,5.531,hunger
16,17,3553,30.799,wall
17,0,640,5.531,hunger
18,0,640,5.539,hunger
19,0,640,5.542,hunger
20,4,1227,10.638,hunger
21,1,1217,10.525,hunger
22,0,640,5.54,hunger
23,1,662,5.721,hunger
24,11,2237,19.363,hunger
25,0,640,5.541,hunger
26,0,640,5.552,hunger
27,0,640,5.536,hunger
28,9,2573,22.291,hunger
29,0,640,5.561,hunger
30,0,640,5.56,hunger
31,8,1480,12.832,hunger
32,5,2390,20.707,hunger
33,0,640,5.539,hunger
34,1,670,5.822,hunger
35,1,662,5.74,hunger
36,0,640,5.536,hunger
37,1,1227,10.638,hunger
38,1,652,5.643,hunger
39,16,2232,20.472,self
40,0,640,5.918,hunger
41,4,1449,13.348,hunger
42,1,649,5.95,hunger
43,0,640,5.925,hunger
44,0,640,5.924,hunger
45,0,640,5.891,hunger
46,0,640,5.9,hunger
47,1,662,6.116,hunger
48,0,640,5.918,hunger
49,0,640,5.917,hunger
50,0,640,5.904,hunger
51,0,640,5.897,hunger
52,0,640,5.904,hunger
53,0,640,5.931,hunger
54,0,640,5.893,hunger
55,0,640,5.923,hunger
56,21,1939,17.93,self
57,0,640,5.904,hunger
58,7,1848,17.083,hunger
59,0,640,5.889,hunger
60,0,640,5.879,hunger
61,0,640,5.924,hunger
62,0,640,5.907,hunger
63,0,640,5.891,hunger
64,0,640,5.903,hunger
65,0,640,5.924,hunger
66,0,640,5.912,hunger
67,0,640,5.906,hunger
68,2,880,8.132,hunger
69,0,640,5.899,hunger
70,0,640,5.904,hunger
71,1,657,6.056,hunger
72,0,640,5.912,hunger
73,0,640,5.931,hunger
74,0,640,5.895,hunger
75,0,640,5.905,hunger
76,3,1492,13.817,hunger
77,2,816,7.523,hunger
78,0,640,5.896,hunger
79,0,640,5.886,hunger
80,0,640,5.915,hunger
81,0,640,5.901,hunger
82,1,1217,11.24,hunger
83,1,1215,11.218,hunger
84,0,640,5.903,hunger
85,2,665,6.165,hunger
86,0,640,5.903,hunger
87,0,640,5.903,hunger
88,0,640,5.891,hunger
89,0,640,5.924,hunger
90,1,649,5.983,hunger
91,1,656,6.099,hunger
92,1,641,5.915,hunger
93,0,640,5.922,hunger
94,0,640,5.899,hunger
95,0,640,5.932,hunger
96,0,640,5.914,hunger
97,0,640,5.921,hunger
98,3,1047,9.665,hunger
99,7,1370,12.618,hunger
100,0,640,5.913,hunger
101,0,640,5.912,hunger
102,0,640,5.901,hunger
103,0,640,5.907,hunger
104,0,640,5.893,hunger
105,1,1230,11.315,hunger
106,0,640,5.88,hunger
107,7,1069,9.781,hunger
108,1,1237,11.408,hunger
109,1,645,5.923,hunger
110,0,640,5.869,hunger
111,0,640,5.854,hunger
112,3,1565,14.358,hunger
113,0,640,5.871,hunger
114,1,655,5.969,hunger
115,0,640,5.863,hunger
116,0,640,5.86,hunger
117,0,640,5.863,hunger
118,0,640,5.867,hunger
119,0,640,5.825,hunger
120,17,3234,29.062,hunger
121,0,640,5.729,hunger
122,0,640,5.727,hunger
123,1,661,5.889,hunger
124,0,640,5.691,hunger
125,11,1426,12.558,hunger
126,0,640,5.66,hunger
127,6,1601,14.093,hunger
128,3,937,8.241,hunger
129,0,640,5.61,hunger
130,0,640,5.523,hunger
131,0,640,5.477,hunger
132,0,640,5.517,hunger
133,1,655,5.914,hunger
134,7,973,8.352,hunger
135,10,2675,22.829,self
136,1,1143,9.745,hunger
137,2,664,5.679,hunger
138,0,640,5.456,hunger
139,0,640,5.602,hunger
140,4,1221,10.685,hunger
141,0,640,5.549,hunger
142,0,640,5.551,hunger
143,15,2517,21.605,hunger
144,0,640,5.474,hunger
145,0,640,5.449,hunger
146,1,1237,10.576,hunger
147,0,640,5.503,hunger
148,0,640,5.483,hunger
149,3,1954,16.699,hunger
150,1,1203,10.304,hunger
151,0,640,5.444,hunger
152,0,640,5.472,hunger
153,0,640,5.476,hunger
154,0,640,5.456,hunger
155,2,732,6.231,hunger
156,0,640,5.464,hunger
157,1,1197,10.38,hunger
158,5,1379,11.771,hunger
159,0,640,5.438,hunger
160,0,640,5.462,hunger
161,0,640,5.487,hunger
162,0,640,5.638,hunger
163,0,640,5.503,hunger
164,0,640,5.498,hunger
165,0,640,5.513,hunger
166,0,640,5.761,hunger
167,0,640,5.553,hunger
168,3,710,6.49,hunger
169,1,1250,10.96,hunger
170,0,640,5.477,hunger
171,0,640,5.613,hunger
172,1,657,5.623,hunger
173,0,640,5.478,hunger
174,7,1519,13.044,hunger
175,0,640,5.518,hunger
176,0,640,5.533,hunger
177,0,640,5.493,hunger
178,0,640,5.455,hunger
179,0,640,5.475,hunger
180,0,640,5.477,hunger
181,0,640,5.475,hunger
182,0,640,5.541,hunger
183,1,651,5.735,hunger
184,5,1657,14.303,hunger
185,0,640,5.485,hunger
186,4,1118,9.6,hunger
187,0,640,5.48,hunger
188,0,640,5.479,hunger
189,0,640,5.46,hunger
190,3,1893,16.242,hunger
191,0,640,5.442,hunger
192,5,1265,10.813,hunger
193,0,640,5.525,hunger
194,1,1224,10.433,hunger
195,0,640,5.429,hunger
196,1,661,5.704,hunger
197,0,640,5.47,hunger
198,5,1410,11.96,hunger
199,0,640,5.431,hunger
200,11,2262,19.305,hunger
201,0,640,5.43,hunger
202,0,640,5.437,hunger
203,0,640,5.494,hunger
204,0,640,5.476,hunger
205,0,640,5.474,hunger
206,1,655,5.552,hunger
207,3,1064,9.142,hunger
208,0,640,5.465,hunger
209,3,854,7.408,hunger
210,0,640,5.623,hunger
211,20,3676,31.269,self
212,0,640,5.501,hunger
213,0,640,5.418,hunger
214,0,640,5.557,hunger
215,0,640,5.598,hunger
216,1,1261,11.304,hunger
217,1,1113,9.645,hunger
218,0,640,7.558,hunger
219,0,640,5.428,hunger
220,0,640,5.872,hunger
221,0,640,6.819,hunger
222,0,640,6.164,hunger
223,0,640,5.491,hunger
