episode,score,return,epsilon,best_score,steps,loss
1,0,-1.0,0.99962,0,1,
2,0,-1.0101,0.99924,0,2,
3,0,-1.0,0.99886,0,1,
4,0,-1.0621,0.99848,0,7,
5,0,-1.0,0.9981,0,1,
6,0,-1.0836000000000001,0.99772,0,9,
7,0,-1.0,0.99734,0,1,
8,0,-1.0306,0.99696,0,4,
9,0,-1.0515,0.99658,0,6,
10,0,-1.0101,0.9962,0,2,
11,0,-1.0101,0.99582,0,2,
12,0,-1.209,0.99544,0,20,
13,0,-1.0,0.9950600000000001,0,1,
14,0,-1.041,0.99468,0,5,
15,0,-1.0203,0.9943,0,3,0.11156055331230164
16,0,-1.0,0.99392,0,1,0.09720652550458908
17,0,-1.0203,0.99354,0,3,0.07949654012918472
18,0,-1.1971,0.99316,0,19,0.004666588734835386
19,0,-1.0101,0.99278,0,2,0.0058524394407868385
20,0,-1.0101,0.9924,0,2,0.0044450340792536736
21,0,-1.0101,0.99202,0,2,0.0027576303109526634
22,0,-1.0515,0.99164,0,6,0.00463082967326045
23,0,-1.0203,0.99126,0,3,0.003309167455881834
24,0,-1.0621,0.99088,0,7,0.0038562302943319082
25,0,-1.0,0.9905,0,1,0.0024171744007617235
26,0,-1.0,0.99012,0,1,0.0020002718083560467
27,0,-1.0,0.98974,0,1,0.002754372078925371
28,0,-1.0101,0.98936,0,2,0.001676291460171342
29,0,-1.0621,0.98898,0,7,0.0016201193211600184
30,0,-1.0,0.9886,0,1,0.0008643156616017222
31,0,-1.0728,0.98822,0,8,0.0006692650495097041
32,0,-1.1391,0.98784,0,14,0.0014511689078062773
33,0,-1.1853,0.98746,0,18,0.003101737704128027
34,0,-1.0101,0.98708,0,2,0.000750729173887521
35,0,-1.0306,0.9867,0,4,0.0015821640845388174
36,0,-1.0,0.98632,0,1,0.005503329914063215
37,0,-1.0203,0.98594,0,3,0.001347071840427816
38,0,-1.0101,0.98556,0,2,0.007687785662710667
39,0,-1.0515,0.9851800000000001,0,6,0.0036709222476929426
40,0,-1.041,0.9848,0,5,0.001601622556336224
41,0,-1.0101,0.98442,0,2,0.0016935085877776146
42,0,-1.0,0.98404,0,1,0.001072979299351573
43,1,-0.020299999999999985,0.98366,1,4,0.0014795162715017796
44,0,-1.0,0.98328,1,1,0.0011841795640066266
45,0,-1.0203,0.9829,1,3,0.006331011652946472
46,0,-1.0515,0.98252,1,6,0.005238859448581934
47,0,-1.0,0.98214,1,1,0.006183145102113485
48,0,-1.0203,0.98176,1,3,0.000793601619079709
49,0,-1.0621,0.98138,1,7,0.0024805800057947636
50,0,-1.0,0.981,1,1,0.001846481580287218
51,0,-1.0101,0.98062,1,2,0.0007030332926660776
52,0,-1.0621,0.98024,1,7,0.00208773510530591
53,0,-1.0203,0.97986,1,3,0.0022009543608874083
54,0,-1.0,0.97948,1,1,0.0009279674850404263
55,0,-1.0101,0.9791,1,2,0.0011117758695036173
56,0,-1.0,0.97872,1,1,0.0005667816731147468
57,0,-1.041,0.97834,1,5,0.0006718738004565239
